"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","554","Login with correct email and password","LMS service","Tue Sep 09 04:08:24 UTC 2025","passed","Tue Sep 09 04:08:25 UTC 2025","Login","Authentication","",""
"","293","Delete file","LMS service","Tue Sep 09 04:08:32 UTC 2025","passed","Tue Sep 09 04:08:32 UTC 2025","Delete entity","Files","",""
"","258","Create file with empty filename","LMS service","Tue Sep 09 04:08:30 UTC 2025","passed","Tue Sep 09 04:08:30 UTC 2025","Validate entity","Files","",""
"","550","Create user","LMS service","Tue Sep 09 04:08:32 UTC 2025","passed","Tue Sep 09 04:08:33 UTC 2025","Create entity","Users","",""
"","23","Create exercise","LMS service","Tue Sep 09 04:08:27 UTC 2025","passed","Tue Sep 09 04:08:27 UTC 2025","Create entity","Exercises","",""
"","261","Create file with empty directory","LMS service","Tue Sep 09 04:08:31 UTC 2025","passed","Tue Sep 09 04:08:32 UTC 2025","Validate entity","Files","",""
"","15","Get file","LMS service","Tue Sep 09 04:08:30 UTC 2025","passed","Tue Sep 09 04:08:31 UTC 2025","Get entity","Files","",""
"","21","Update exercise","LMS service","Tue Sep 09 04:08:27 UTC 2025","passed","Tue Sep 09 04:08:27 UTC 2025","Update entity","Exercises","",""
"","16","Get user me","LMS service","Tue Sep 09 04:08:34 UTC 2025","passed","Tue Sep 09 04:08:34 UTC 2025","Get entity","Users","",""
"","51","Get exercise","LMS service","Tue Sep 09 04:08:28 UTC 2025","passed","Tue Sep 09 04:08:28 UTC 2025","Get entity","Exercises","",""
"","292","Create user","LMS service","Tue Sep 09 04:08:33 UTC 2025","passed","Tue Sep 09 04:08:33 UTC 2025","Create entity","Users","",""
"","29","Get courses","LMS service","Tue Sep 09 04:08:26 UTC 2025","passed","Tue Sep 09 04:08:26 UTC 2025","Get entities","Courses","",""
"","36","Create course","LMS service","Tue Sep 09 04:08:25 UTC 2025","passed","Tue Sep 09 04:08:25 UTC 2025","Create entity","Courses","",""
"","18","Create file","LMS service","Tue Sep 09 04:08:29 UTC 2025","passed","Tue Sep 09 04:08:29 UTC 2025","Create entity","Files","",""
"","23","Delete exercise","LMS service","Tue Sep 09 04:08:28 UTC 2025","passed","Tue Sep 09 04:08:28 UTC 2025","Delete entity","Exercises","",""
"","34","Update course","LMS service","Tue Sep 09 04:08:26 UTC 2025","passed","Tue Sep 09 04:08:26 UTC 2025","Update entity","Courses","",""
"","270","Get file with incorrect file id","LMS service","Tue Sep 09 04:08:32 UTC 2025","passed","Tue Sep 09 04:08:33 UTC 2025","Validate entity","Files","",""
"","556","Create user","LMS service","Tue Sep 09 04:08:33 UTC 2025","passed","Tue Sep 09 04:08:33 UTC 2025","Create entity","Users","",""
"","20","Get exercises","LMS service","Tue Sep 09 04:08:29 UTC 2025","passed","Tue Sep 09 04:08:29 UTC 2025","Get entities","Exercises","",""
